Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
L-10-1,L,2400,2400,0,0,Stabilized,Non-inverted,9.09557396,2011.229686,18.73,17.19233472,17.39,17.39,0,25.12,6.51,0.076642329
L-10-2,L,2400,2400,0,0,Stabilized,Non-inverted,5.596482636,2011.229686,21.66666667,10.57839815,17.39,17.39,0,25.12,6.51,0.076642329
L-10-3,L,2400,2400,0,0,Stabilized,Non-inverted,2.218028192,2011.229686,22.61,4.192487826,17.39,17.39,0,25.12,6.51,0.076642329
L-10-4,L,2400,2400,0,0,Stabilized,Non-inverted,5.884946493,2011.229686,20.55,11.12364875,17.39,17.39,0,25.12,6.51,0.076642329
L-10-5,L,2400,2400,0,0,Stabilized,Non-inverted,3.82236044,2011.229686,19.1625,7.224975621,17.39,17.39,0,25.12,6.51,0.076642329
L-5-1,L,2400,2400,0,0,Stabilized,Non-inverted,4.153907138,2011.229686,22.275,7.851660845,17.39,17.39,0,25.12,6.51,0.076642329
L-5-2,L,2400,2400,0,0,Stabilized,Non-inverted,3.505811932,2011.229686,20.95,6.626639778,17.39,17.39,0,25.12,6.51,0.076642329
L-5-3,L,2400,2400,0,0,Stabilized,Non-inverted,6.35579306,2011.229686,20.855,12.01363677,17.39,17.39,0,25.12,6.51,0.076642329
L-5-4,L,2400,2400,0,0,Stabilized,Non-inverted,8.837993364,2011.229686,22.27666667,16.70545926,17.39,17.39,0,25.12,6.51,0.076642329
L-5-5,L,2400,2400,0,0,Stabilized,Non-inverted,6.242882909,2011.229686,21.89,11.80021548,17.39,17.39,0,25.12,6.51,0.076642329
LH-10-1,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,4.703538543,2011.229686,9.06,8.890566924,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-10-2,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,3.666771473,2011.229686,9.22,6.930883394,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-10-3,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,2.288153102,2011.229686,9.02,4.325037013,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-10-4,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.723637818,2011.229686,9.67,3.257997619,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-10-5,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,3.508506827,2011.229686,8.783333333,6.631733633,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-5-1,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,7.551174357,2011.229686,10.37,14.27313083,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-5-2,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,3.923810084,2011.229686,8.773333333,7.416734408,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-5-3,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.845589256,2011.229686,11.045,3.48850863,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-5-4,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.111679181,2011.229686,10.35,2.101281423,17.39,7.6,-9.79,25.12,6.51,0.076642329
LH-5-5,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.595778748,2011.229686,8.623333333,3.01632008,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-10-1,LHR,2400,4600,2200,-11.1,Cooling,Inverted,2.579101219,2011.229686,8.816666667,4.874983331,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-10-2,LHR,2400,4600,2200,-11.1,Cooling,Inverted,3.753443268,2011.229686,9.98,7.094709286,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-10-3,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.239012033,2011.229686,8.663333333,2.341964311,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-10-4,LHR,2400,4600,2200,-11.1,Cooling,Inverted,2.970058287,2011.229686,9.15,5.613965257,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-10-5,LHR,2400,4600,2200,-11.1,Cooling,Inverted,10.39717436,2011.229686,8.38,19.65260275,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-5-1,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.064754164,2011.229686,9.57,2.012584369,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-5-2,LHR,2400,4600,2200,-11.1,Cooling,Inverted,4.479363901,2011.229686,9.856666667,8.466834954,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-5-3,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.202402459,2011.229686,9.123333333,2.272765373,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-5-4,LHR,2400,4600,2200,-11.1,Cooling,Inverted,8.579358363,2011.229686,10.27666667,16.21659076,17.39,7.6,-9.79,25.12,6.51,0.076642329
LHR-5-5,LHR,2400,4600,2200,-11.1,Cooling,Inverted,4.8699672,2011.229686,8.76,9.205148192,17.39,7.6,-9.79,25.12,6.51,0.076642329
LM-10-1,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,3.990077296,2011.229686,13.125,7.541991825,17.39,13.05,-4.34,25.12,6.51,0.076642329
