Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,V4,SR,Temp.O,Temp.D,delta.T,E.Changed,Silt_clay,pH,TN
L-10-1,L,2400,2400,0,0,Stabilized,Non-inverted,1.786378333,2011.229686,8.03,1.198666667,3.376588919,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-10-2,L,2400,2400,0,0,Stabilized,Non-inverted,1.908593333,2011.229686,6.653333333,1.099,3.607598111,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-10-3,L,2400,2400,0,0,Stabilized,Non-inverted,0.9350405,2011.229686,8.76,1.2305,1.767401302,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-10-4,L,2400,2400,0,0,Stabilized,Non-inverted,1.668673333,2011.229686,6.873333333,1.115666667,3.154104471,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-10-5,L,2400,2400,0,0,Stabilized,Non-inverted,1.250274333,2011.229686,7.556666667,1.137333333,2.363252163,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-5-1,L,2400,2400,0,0,Stabilized,Non-inverted,1.25546,2011.229686,6.663333333,1.162666667,2.373054042,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-5-2,L,2400,2400,0,0,Stabilized,Non-inverted,1.645443333,2011.229686,7.523333333,1.195666667,3.110195429,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-5-3,L,2400,2400,0,0,Stabilized,Non-inverted,1.791362667,2011.229686,7.956666667,1.234,3.386010241,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-5-4,L,2400,2400,0,0,Stabilized,Non-inverted,2.32355,2011.229686,7.083333333,1.199333333,4.391943765,8.04,8.04,0,24_0,25.12,6.51,0.076642329
L-5-5,L,2400,2400,0,0,Stabilized,Non-inverted,1.40288,2011.229686,6.935,1.213,2.651705395,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-10-1,LR,2400,2400,0,0,Stabilized,Inverted,0.663623667,2011.229686,8.81,1.139666667,1.254372759,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-10-2,LR,2400,2400,0,0,Stabilized,Inverted,0.697967333,2011.229686,9.07,1.162,1.319288708,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-10-3,LR,2400,2400,0,0,Stabilized,Inverted,0.819416667,2011.229686,7.436666667,1.197333333,1.548850647,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-10-4,LR,2400,2400,0,0,Stabilized,Inverted,0.4565135,2011.229686,6.25,1.2315,0.862895836,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-10-5,LR,2400,2400,0,0,Stabilized,Inverted,0.464633667,2011.229686,7.953333333,1.183,0.878244469,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-5-1,LR,2400,2400,0,0,Stabilized,Inverted,0.558294,2011.229686,5.41,1.133,1.055280004,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-5-2,LR,2400,2400,0,0,Stabilized,Inverted,0.880130667,2011.229686,7.023333333,1.092333333,1.663611454,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-5-3,LR,2400,2400,0,0,Stabilized,Inverted,0.578254333,2011.229686,7.29,1.167333333,1.093008764,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-5-4,LR,2400,2400,0,0,Stabilized,Inverted,0.776074,2011.229686,7.646666667,1.07,1.466924906,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LR-5-5,LR,2400,2400,0,0,Stabilized,Inverted,0.697418667,2011.229686,7.383333333,1.114,1.318251626,8.04,8.04,0,24_0,25.12,6.51,0.076642329
LM-10-1,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,1.029220667,2011.229686,3.203333333,1.383333333,1.945419419,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-10-2,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,4.46547,2011.229686,3.88,1.520666667,8.440572884,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-10-3,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,2.010083333,2011.229686,2.226666667,1.319666667,3.799433179,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-10-4,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,1.813742333,2011.229686,2.626666667,1.275,3.428311994,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-10-5,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,1.096058,2011.229686,2.983333333,1.573666667,2.07175447,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-5-1,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,4.302085,2011.229686,2.065,1.592,8.131744698,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-5-2,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,1.318402,2011.229686,6.135,1.4,2.492026186,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-5-3,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,2.38916,2011.229686,2.855,1.2005,4.515958928,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-5-4,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,0.790572667,2011.229686,2.966666667,1.296666667,1.494330096,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LM-5-5,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,2.484003333,2011.229686,3.893333333,1.381333333,4.695230554,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-10-1,LMR,2400,3500,1100,-5.6,Cooling,Inverted,0.943845352,2011.229686,3.116296296,1.405703704,1.784044117,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-10-2,LMR,2400,3500,1100,-5.6,Cooling,Inverted,0.7576465,2011.229686,2.59,1.499,1.432093487,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-10-3,LMR,2400,3500,1100,-5.6,Cooling,Inverted,0.789125,2011.229686,2.97,1.447666667,1.491593735,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-10-4,LMR,2400,3500,1100,-5.6,Cooling,Inverted,1.828194,2011.229686,3.136666667,1.500333333,3.455628345,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-10-5,LMR,2400,3500,1100,-5.6,Cooling,Inverted,2.225299667,2011.229686,4.763333333,1.338666667,4.206232273,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-5-1,LMR,2400,3500,1100,-5.6,Cooling,Inverted,0.508805667,2011.229686,3.78,1.377333333,0.961737804,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-5-2,LMR,2400,3500,1100,-5.6,Cooling,Inverted,0.296619,2011.229686,3.653333333,1.340666667,0.560665347,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-5-3,LMR,2400,3500,1100,-5.6,Cooling,Inverted,0.767972667,2011.229686,2.41,1.401333333,1.451611872,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-5-4,LMR,2400,3500,1100,-5.6,Cooling,Inverted,0.617165,2011.229686,2.13,1.328,1.166557196,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LMR-5-5,LMR,2400,3500,1100,-5.6,Cooling,Inverted,0.703780667,2011.229686,2.613333333,1.418333333,1.330276995,8.04,0.99,-7.05,1100,25.12,6.51,0.076642329
LH-10-1,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,2.400301333,2011.229686,0.72,1.625333333,4.53701813,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-10-2,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,2.066047667,2011.229686,0.193333333,1.176333333,3.905216229,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-10-3,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.363265,2011.229686,-0.08,1.1115,2.576825641,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-10-4,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,0.525161067,2011.229686,1.556666667,1.549,0.992652567,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-10-5,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.094291667,2011.229686,0.276666667,1.428333333,2.06841577,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-5-1,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.150459667,2011.229686,-0.153333333,1.242333333,2.174583788,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-5-2,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,2.466323333,2011.229686,0.686666667,1.495,4.661812049,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-5-3,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,3.010716667,2011.229686,0.483333333,1.614,5.690817195,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
