Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,E.Changed,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
L-10-1,L,2400,2400,0,0,Stabilized,Non-inverted,15.52991667,2011.229686,18.73,29.354445,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-10-2,L,2400,2400,0,0,Stabilized,Non-inverted,10.49143,2011.229686,21.66666667,19.83076352,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-10-3,L,2400,2400,0,0,Stabilized,Non-inverted,8.70343,2011.229686,22.61,16.45110935,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-10-4,L,2400,2400,0,0,Stabilized,Non-inverted,5.515313333,2011.229686,20.55,10.424973,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-10-5,L,2400,2400,0,0,Stabilized,Non-inverted,7.202695,2011.229686,19.1625,13.61443971,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-5-1,L,2400,2400,0,0,Stabilized,Non-inverted,4.8769725,2011.229686,22.275,9.218389518,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-5-2,L,2400,2400,0,0,Stabilized,Non-inverted,5.185103333,2011.229686,20.95,9.800814382,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-5-3,L,2400,2400,0,0,Stabilized,Non-inverted,11.32049,2011.229686,20.855,21.39784187,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-5-4,L,2400,2400,0,0,Stabilized,Non-inverted,11.50334333,2011.229686,22.27666667,21.74346884,24_0,17.86,17.86,0,25.12,6.51,0.076642329
L-5-5,L,2400,2400,0,0,Stabilized,Non-inverted,5.09907,2011.229686,21.89,9.638195303,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-10-1,LR,2400,2400,0,0,Stabilized,Inverted,2.1361405,2011.229686,17.33,4.037704784,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-10-2,LR,2400,2400,0,0,Stabilized,Inverted,5.23870025,2011.229686,21.0425,9.902122572,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-10-3,LR,2400,2400,0,0,Stabilized,Inverted,2.964023333,2011.229686,20.31333333,5.602558068,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-10-4,LR,2400,2400,0,0,Stabilized,Inverted,9.235866667,2011.229686,22.05,17.45751416,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-10-5,LR,2400,2400,0,0,Stabilized,Inverted,2.075760333,2011.229686,21.46,3.923574984,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-5-1,LR,2400,2400,0,0,Stabilized,Inverted,3.101186667,2011.229686,21.92,5.861822404,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-5-2,LR,2400,2400,0,0,Stabilized,Inverted,4.8260675,2011.229686,21.045,9.122169554,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-5-3,LR,2400,2400,0,0,Stabilized,Inverted,3.6850825,2011.229686,21.23,6.965494657,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-5-4,LR,2400,2400,0,0,Stabilized,Inverted,6.62151,2011.229686,21.0275,12.51589144,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LR-5-5,LR,2400,2400,0,0,Stabilized,Inverted,2.505260333,2011.229686,19.56333333,4.735410256,24_0,17.86,17.86,0,25.12,6.51,0.076642329
LM-10-1,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,9.541135,2011.229686,13.125,18.03452836,1100,17.86,13,-4.86,25.12,6.51,0.076642329
LM-10-2,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,5.95674,2011.229686,13.14,11.2593519,1100,17.86,13,-4.86,25.12,6.51,0.076642329
